img_id,version,ambiguous,r_id,directory,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawOpen,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthPucker,noseSneerLeft,noseSneerRight,cheekSquintLeft,cheekSquintRight
31_fear,b,False,mediapipe,Modified_images,0.0456,0.0191,0.0919,0.0507,0.0603,0.1767,0.3016,0.005,0.0057,0.0034,0.0001,0.0,0.015,0.0118,0.3333,0.0,0.0,0.0,0.0
31_fear,g,False,mediapipe,Modified_images,0.1042,0.0426,0.048,0.0223,0.0282,0.2974,0.301,0.0044,0.0051,0.0016,0.0006,0.0003,0.0119,0.0145,0.2739,0.0,0.0,0.0,0.0
31_fear,l,False,mediapipe,Modified_images,0.048,0.0379,0.0753,0.0315,0.0277,0.208,0.3,0.0084,0.0112,0.004,0.0002,0.0001,0.0193,0.0095,0.1979,0.0,0.0,0.0,0.0
31_fear,o,False,mediapipe,Modified_images,0.1948,0.0978,0.0116,0.0143,0.0181,0.3221,0.2414,0.0048,0.0048,0.0017,0.0002,0.0001,0.0119,0.0129,0.3768,0.0,0.0,0.0,0.0
32_happy,b,False,mediapipe,Modified_images,0.1987,0.1333,0.0546,0.0043,0.0059,0.8049,0.6026,0.0016,0.0007,0.0046,0.3497,0.2944,0.1218,0.1014,0.0001,0.0,0.0,0.0,0.0
32_happy,g,False,mediapipe,Modified_images,0.0712,0.0426,0.1904,0.0054,0.0108,0.866,0.6281,0.0021,0.0022,0.0093,0.4435,0.4123,0.1142,0.0954,0.0,0.0,0.0,0.0,0.0
32_happy,l,False,mediapipe,Modified_images,0.0544,0.0348,0.093,0.0139,0.0172,0.7696,0.5251,0.0013,0.0006,0.0019,0.1118,0.1971,0.0734,0.045,0.0002,0.0,0.0,0.0,0.0
32_happy,o,False,mediapipe,Modified_images,0.0235,0.0294,0.2243,0.0207,0.0118,0.8419,0.6328,0.0016,0.0014,0.0064,0.2824,0.2935,0.1507,0.1161,0.0,0.0,0.0,0.0,0.0
33_neutral,b,False,mediapipe,Modified_images,0.0118,0.0054,0.2278,0.1474,0.1636,0.1061,0.0612,0.0203,0.0242,0.0078,0.0,0.0,0.0001,0.0001,0.8838,0.0,0.0,0.0,0.0
33_neutral,g,False,mediapipe,Modified_images,0.0062,0.0039,0.1527,0.2069,0.1801,0.3267,0.1782,0.0092,0.0073,0.0017,0.0,0.0,0.0002,0.0003,0.7369,0.0,0.0,0.0,0.0
33_neutral,l,False,mediapipe,Modified_images,0.083,0.1144,0.0273,0.0192,0.0104,0.3392,0.178,0.0126,0.0108,0.0007,0.0003,0.0005,0.042,0.0483,0.2061,0.0,0.0,0.0,0.0
33_neutral,o,False,mediapipe,Modified_images,0.0101,0.0048,0.1241,0.1611,0.155,0.3607,0.2007,0.0069,0.0059,0.0011,0.0001,0.0,0.0003,0.0004,0.7332,0.0,0.0,0.0,0.0
34_sad,b,False,mediapipe,Modified_images,0.1078,0.0651,0.0571,0.0544,0.0551,0.2199,0.1804,0.0162,0.011,0.0041,0.0001,0.0,0.0053,0.0072,0.3483,0.0,0.0,0.0,0.0
34_sad,g,False,mediapipe,Modified_images,0.1319,0.0799,0.0303,0.0277,0.0372,0.3179,0.2614,0.0132,0.012,0.0014,0.0001,0.0001,0.0097,0.0162,0.3093,0.0,0.0,0.0,0.0
34_sad,l,False,mediapipe,Modified_images,0.1608,0.0696,0.0319,0.0228,0.0459,0.304,0.2456,0.016,0.0158,0.004,0.0003,0.0002,0.1545,0.1502,0.1128,0.0,0.0,0.0,0.0
34_sad,o,False,mediapipe,Modified_images,0.1182,0.0753,0.0368,0.0329,0.0467,0.3049,0.2764,0.0136,0.0127,0.0013,0.0002,0.0001,0.0173,0.0274,0.2968,0.0,0.0,0.0,0.0
35_surprise,b,False,mediapipe,Modified_images,0.0008,0.0012,0.2123,0.5967,0.3199,0.0476,0.0242,0.2053,0.207,0.6026,0.0,0.0,0.0,0.0,0.668,0.0,0.0,0.0,0.0
35_surprise,g,False,mediapipe,Modified_images,0.0005,0.0005,0.3515,0.629,0.3894,0.0612,0.0359,0.227,0.2554,0.6102,0.0,0.0,0.0,0.0,0.8295,0.0,0.0,0.0,0.0
35_surprise,l,False,mediapipe,Modified_images,0.0008,0.0008,0.2577,0.4887,0.3144,0.0937,0.0595,0.1292,0.1,0.5841,0.0,0.0,0.0,0.0,0.3003,0.0,0.0,0.0,0.0
35_surprised,o,False,mediapipe,Modified_images,0.0007,0.0008,0.2994,0.5676,0.3298,0.0733,0.0446,0.1992,0.2646,0.5943,0.0,0.0,0.0,0.0,0.8238,0.0,0.0,0.0,0.0
3_fear,b,False,mediapipe,Modified_images,0.0001,0.0,0.8762,0.7981,0.7892,0.0774,0.0188,0.117,0.0961,0.4028,0.0142,0.0236,0.0249,0.0226,0.0019,0.0,0.0,0.0,0.0
3_fear,g,False,mediapipe,Modified_images,0.0001,0.0001,0.8318,0.6232,0.4922,0.0591,0.0217,0.1512,0.1931,0.4421,0.013,0.0236,0.0117,0.0114,0.0028,0.0,0.0,0.0,0.0
3_fear,l,False,mediapipe,Modified_images,0.0001,0.0001,0.8115,0.6723,0.6211,0.0672,0.0219,0.1181,0.0987,0.3947,0.0368,0.0605,0.0442,0.0393,0.0013,0.0,0.0,0.0,0.0
3_fear,o,False,mediapipe,Modified_images,0.0001,0.0001,0.8391,0.6131,0.4608,0.0502,0.0195,0.1769,0.1907,0.4285,0.0123,0.0206,0.0152,0.0163,0.0015,0.0,0.0,0.0,0.0
4_happy,b,True,mediapipe,Modified_images,0.0005,0.0002,0.7082,0.6275,0.6668,0.1122,0.1845,0.0057,0.0232,0.0002,0.7648,0.6704,0.0106,0.0141,0.0155,0.0,0.0,0.0,0.0
4_happy,g,True,mediapipe,Modified_images,0.0003,0.0001,0.6737,0.7018,0.7472,0.0784,0.0714,0.0161,0.0912,0.0004,0.7317,0.6168,0.0065,0.0093,0.0061,0.0,0.0,0.0,0.0
4_happy,l,True,mediapipe,Modified_images,0.0002,0.0001,0.7384,0.7475,0.7922,0.1791,0.0762,0.0117,0.0458,0.0003,0.5038,0.5494,0.01,0.0091,0.0079,0.0,0.0,0.0,0.0
