img_id,ambiguous,source,version,version_name,cosine_to_original,mean_absolute_change,entropy_change
22_angry,False,FER,l,Low resolution,0.9962544773605397,0.02931721743602933,0.15938499858642344
23_disgust,False,FER,b,Blur,0.9999457499842113,0.0028288543140028303,0.02674673617584003
23_disgust,False,FER,g,Greyscale,1.0000000000000002,0.0,0.0
23_disgust,False,FER,l,Low resolution,0.9998847004417836,0.0057720057720057755,-0.04337546755262712
24_fear,False,FER,b,Blur,0.9994285822531006,0.011428571428571432,0.05942311548296217
24_fear,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
24_fear,False,FER,l,Low resolution,0.9979280346119174,0.020432900432900438,0.10474103453944267
25_happy,False,FER,b,Blur,0.9602804946451489,0.06372065778006372,0.2615538184764792
25_happy,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
25_happy,False,FER,l,Low resolution,0.9942337198899043,0.02908862314802909,0.16781439947795462
26_neutral,False,FER,b,Blur,,,
26_neutral,False,FER,g,Greyscale,,,
26_neutral,False,FER,l,Low resolution,,,
27_sad,False,FER,b,Blur,0.998952803404988,0.011428571428571432,-0.030242152640532205
27_sad,False,FER,g,Greyscale,0.9999999999999998,0.0,0.0
27_sad,False,FER,l,Low resolution,0.9951436091494911,0.02857142857142857,-0.12520301163978215
28_surprise,True,FER,b,Blur,0.943919613217578,0.05483405483405484,0.03760732336589878
28_surprise,True,FER,g,Greyscale,1.0,0.0,0.0
28_surprise,True,FER,l,Low resolution,0.9078406512044435,0.06492077779206493,-0.13358163239949583
29_angry,False,FER,b,Blur,0.999948988700964,0.002857142857142859,0.028779095675118695
29_angry,False,FER,g,Greyscale,1.0,0.0,0.0
29_angry,False,FER,l,Low resolution,0.9998979852075899,0.0056577086280056605,0.057039190139609765
2_disgust,False,FER,b,Blur,0.9662791427907026,0.058470418470418464,0.19530932822786978
2_disgust,False,FER,g,Greyscale,1.0,0.0,0.0
2_disgust,False,FER,l,Low resolution,0.9829620670425545,0.04571428571428572,0.1400515696137849
30_disgust,False,FER,b,Blur,0.6548692951509864,0.14857142857142858,0.3767436960707042
30_disgust,False,FER,g,Greyscale,1.0000000000000002,0.0,0.0
30_disgust,False,FER,l,Low resolution,0.21960557795729801,0.21428571428571433,0.23745454646035496
31_fear,False,FER,b,Blur,0.9656644941636513,0.0396039603960396,0.010872892645514831
31_fear,False,FER,g,Greyscale,1.0,0.0,0.0
31_fear,False,FER,l,Low resolution,0.9868290127214708,0.023459488806023474,0.013216934144721693
32_happy,False,FER,b,Blur,0.9881525959491487,0.02857142857142856,-0.08600841451635621
32_happy,False,FER,g,Greyscale,1.0,0.0,0.0
32_happy,False,FER,l,Low resolution,0.9427708810235933,0.059595959595959584,-0.11993781583387514
33_neutral,False,FER,b,Blur,0.8237370359100605,0.09945165945165946,-0.1788889457388831
33_neutral,False,FER,g,Greyscale,1.0,0.0,0.0
33_neutral,False,FER,l,Low resolution,0.8009939862019185,0.11962481962481962,-0.30145353671482356
34_sad,False,FER,b,Blur,0.963271199986872,0.04285714285714285,0.08724094113155212
34_sad,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
34_sad,False,FER,l,Low resolution,0.9731682689848133,0.037142857142857144,0.11251200136905681
3_fear,False,FER,b,Blur,0.9612191266394516,0.05232323232323231,-0.12086709381570776
3_fear,False,FER,g,Greyscale,1.0,0.0,0.0
3_fear,False,FER,l,Low resolution,0.9395688717580438,0.06481962481962482,0.2746405921935743
4_happy,True,FER,b,Blur,0.9996837069465817,0.006002886002886008,-0.024938134442639454
4_happy,True,FER,g,Greyscale,1.0000000000000002,0.0,0.0
4_happy,True,FER,l,Low resolution,0.99581817115967,0.023145743145743143,-0.11781511469611877
5_neutral,False,FER,b,Blur,,,
5_neutral,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
5_neutral,False,FER,l,Low resolution,,,
6_sad,False,FER,b,Blur,0.7425713259854901,0.11327561327561328,0.1967241279222321
6_sad,False,FER,g,Greyscale,1.0,0.0,0.0
6_sad,False,FER,l,Low resolution,0.9701456802973918,0.048571428571428564,0.03922628938105294
7_surprise,True,FER,b,Blur,,,
7_surprise,True,FER,g,Greyscale,,,
7_surprise,True,FER,l,Low resolution,,,
8_angry,False,FER,b,Blur,0.9993195167594066,0.011428571428571416,-0.03994398871309254
8_angry,False,FER,g,Greyscale,1.0000000000000002,0.0,0.0
8_angry,False,FER,l,Low resolution,,,
9_disgust,False,FER,b,Blur,0.9815632296865331,0.03190947666195191,-0.010648523652102226
9_disgust,False,FER,g,Greyscale,0.9999999999999999,0.0,0.0
9_disgust,False,FER,l,Low resolution,0.7515922496609897,0.1113825668281114,0.0166935727447054
10_fear,False,DeepFace,b,Blur,0.5302840837347539,0.16550615757135773,0.31719917063101216
10_fear,False,DeepFace,g,Greyscale,0.9999557599668274,0.0017311168560202026,-0.003345946505788344
10_fear,False,DeepFace,l,Low resolution,0.9017081159475564,0.08472526298468094,0.2649766419008705
11_happy,False,DeepFace,b,Blur,0.9999979205159805,0.000519024919330646,-0.0006965972721390615
11_happy,False,DeepFace,g,Greyscale,0.9999999871971693,5.695074208693821e-05,-0.0006187056127049638
11_happy,False,DeepFace,l,Low resolution,0.9998814481526382,0.006913592706308376,0.06838328063163082
12_neutral,True,DeepFace,b,Blur,0.6738466731210172,0.12664251641738117,0.2561999445534424
12_neutral,True,DeepFace,g,Greyscale,0.9999887771561957,0.0013170013778790164,0.005214741724693994
12_neutral,True,DeepFace,l,Low resolution,0.8228321047717406,0.1031351913378585,0.24512720374874508
13_sad,False,DeepFace,b,Blur,0.7937341646251637,0.10756778424521607,0.15377202580550708
13_sad,False,DeepFace,g,Greyscale,0.9999925348454745,0.0008478348335623482,-0.0028485424876940058
13_sad,False,DeepFace,l,Low resolution,0.8262492938616612,0.10220714341949758,0.197679139216473
14_surprise,False,DeepFace,b,Blur,0.9651914218639357,0.07294184715478029,0.34408343957458426
14_surprise,False,DeepFace,g,Greyscale,0.9999996469641232,0.0002370262518639956,-0.00171549830918908
14_surprise,False,DeepFace,l,Low resolution,0.15759018485145992,0.24918559405943988,0.3544801834734657
15_angry,True,DeepFace,b,Blur,0.8020825949543774,0.14284126424779625,0.5406461097180916
15_angry,True,DeepFace,g,Greyscale,0.9999999953952831,3.511009295520275e-05,-0.00034152299232220046
15_angry,True,DeepFace,l,Low resolution,0.49988510446965273,0.20298452865932795,0.585903044008463
16_disgust,False,DeepFace,b,Blur,0.4831373914608226,0.17281803589183029,-0.24688042929276782
16_disgust,False,DeepFace,g,Greyscale,0.9997518687171818,0.002947249563218425,0.004242114720460988
16_disgust,False,DeepFace,l,Low resolution,0.687168457248739,0.10580984854707458,0.08724221537136967
17_fear,True,DeepFace,b,Blur,0.9487790446542627,0.07439749968486134,0.2866533928182007
17_fear,True,DeepFace,g,Greyscale,0.9999559698490758,0.002348555072653581,-0.009970765457379571
17_fear,True,DeepFace,l,Low resolution,0.19301990124293636,0.2327019197045855,0.15827614248484614
18_happy,True,DeepFace,b,Blur,0.9940789578387015,0.02648008464665524,-0.09777773964793257
18_happy,True,DeepFace,g,Greyscale,0.9999817527415702,0.0013212121822305616,0.002319406362092019
18_happy,True,DeepFace,l,Low resolution,0.9950744937957401,0.023771529987468343,-0.10157368420120216
19_neutral,True,DeepFace,b,Blur,0.6056162739327784,0.14145032740260088,0.24769604182891636
19_neutral,True,DeepFace,g,Greyscale,0.9999983605899869,0.00044179017043507297,0.0018487369078762361
19_neutral,True,DeepFace,l,Low resolution,0.9948997148324991,0.017978227858181484,0.02679047929993794
1_angry,False,DeepFace,b,Blur,0.9998469060264568,0.005588433993713073,0.045873578254588654
1_angry,False,DeepFace,g,Greyscale,0.9999999960580378,2.730398288579061e-05,0.0002536667823010777
1_angry,False,DeepFace,l,Low resolution,0.9980064779149789,0.023061875744355437,0.16949408838284266
20_sad,True,DeepFace,b,Blur,0.9996624403961549,0.008973558982150178,-0.05691742655118964
20_sad,True,DeepFace,g,Greyscale,0.9999945874284976,0.0007813343067901311,0.002867918320465318
20_sad,True,DeepFace,l,Low resolution,0.9982995846286012,0.014434430214036972,-0.04903036734783989
21_surprise,False,DeepFace,b,Blur,0.99575849745848,0.02354410378327356,0.12222613854387696
21_surprise,False,DeepFace,g,Greyscale,0.999999995474878,2.675159205797565e-05,-0.0001939737330425087
21_surprise,False,DeepFace,l,Low resolution,0.999805387594357,0.005320922041493725,0.03344986037163321
