img_id,version,ambiguous,angry,disgust,fear,happy,sad,surprise,neutral,n_ratings,version_name,assigned_category,dominant_emotion,entropy,source
19_neutral,l,True,0.38095238095238093,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.23809523809523808,2.0,Low resolution,neutral,angry,0.8120529522478682,Humans (version-specific)
19_neutral,o,True,0.30434782608695654,0.0,0.13043478260869565,0.0,0.08695652173913043,0.0,0.4782608695652174,2.0,Original,neutral,neutral,0.6130140652534284,Humans (version-specific)
1_angry,b,False,0.5454545454545454,0.09090909090909091,0.030303030303030304,0.0,0.3333333333333333,0.0,0.0,2.0,Blur,angry,angry,0.5245714350550208,Humans (version-specific)
1_angry,g,False,0.4411764705882353,0.11764705882352941,0.11764705882352941,0.0,0.2647058823529412,0.058823529411764705,0.0,2.0,Greyscale,angry,angry,0.7107491334361266,Humans (version-specific)
1_angry,l,False,0.5,0.11538461538461539,0.038461538461538464,0.0,0.23076923076923078,0.11538461538461539,0.0,2.0,Low resolution,angry,angry,0.6724940474354392,Humans (version-specific)
1_angry,o,False,0.6923076923076923,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,2.0,Original,angry,angry,0.3171995223057939,Humans (version-specific)
20_sad,b,True,0.06666666666666667,0.36666666666666664,0.0,0.0,0.23333333333333334,0.0,0.3333333333333333,2.0,Blur,sad,disgust,0.644523714398311,Humans (version-specific)
20_sad,g,True,0.07692307692307693,0.3076923076923077,0.038461538461538464,0.0,0.23076923076923078,0.0,0.34615384615384615,2.0,Greyscale,sad,neutral,0.7147753792182239,Humans (version-specific)
20_sad,l,True,0.19444444444444445,0.3333333333333333,0.0,0.0,0.2777777777777778,0.0,0.19444444444444445,2.0,Low resolution,sad,disgust,0.6983194555514016,Humans (version-specific)
20_sad,o,True,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,1.0,Original,sad,sad,0.21075809614719848,Humans (version-specific)
21_surprise,b,False,0.0,0.08333333333333333,0.08333333333333333,0.125,0.0,0.7083333333333334,0.0,2.0,Blur,surprise,surprise,0.47193510583061543,Humans (version-specific)
21_surprise,g,False,0.0,0.0,0.0,0.09523809523809523,0.0,0.9047619047619048,0.0,2.0,Greyscale,surprise,surprise,0.16161702092673091,Humans (version-specific)
21_surprise,l,False,0.0,0.0,0.0,0.25,0.0,0.75,0.0,1.0,Low resolution,surprise,surprise,0.28898309867585964,Humans (version-specific)
21_surprise,o,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,Original,surprise,surprise,-0.0,Humans (version-specific)
22_angry,b,False,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,2.0,Blur,angry,angry,0.1565519854537635,Humans (version-specific)
22_angry,g,False,0.42857142857142855,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,1.0,Greyscale,angry,angry,0.5544923070581674,Humans (version-specific)
22_angry,l,False,0.8181818181818182,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,2.0,Low resolution,angry,angry,0.24365940703275488,Humans (version-specific)
22_angry,o,False,0.8,0.2,0.0,0.0,0.0,0.0,0.0,2.0,Original,angry,angry,0.25715597597408063,Humans (version-specific)
23_disgust,b,False,0.0,0.45454545454545453,0.09090909090909091,0.0,0.0,0.45454545454545453,0.0,1.0,Blur,disgust,disgust,0.4803767010065108,Humans (version-specific)
23_disgust,g,False,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,2.0,Greyscale,disgust,disgust,0.23154265837250496,Humans (version-specific)
23_disgust,l,False,0.16129032258064516,0.5161290322580645,0.06451612903225806,0.0,0.0,0.25806451612903225,0.0,2.0,Low resolution,disgust,disgust,0.597169228347187,Humans (version-specific)
23_disgust,o,False,0.0,0.7727272727272727,0.0,0.0,0.0,0.22727272727272727,0.0,2.0,Original,disgust,disgust,0.2754288986448892,Humans (version-specific)
24_fear,b,False,0.0,0.0,0.42857142857142855,0.0,0.5,0.07142857142857142,0.0,2.0,Blur,fear,sad,0.4615862351816214,Humans (version-specific)
24_fear,g,False,0.0,0.06451612903225806,0.22580645161290322,0.0,0.45161290322580644,0.25806451612903225,0.0,2.0,Greyscale,fear,sad,0.6276788003515641,Humans (version-specific)
